"This document is based on ‘Duravolt Plug-In thuisbatterij 485 protocol v1.1’, available from https://duravolt.nl/wp-content/uploads/Duravolt-Plug-in-Battery-Modbus.pdf (checked on 14-08-2025).
Changes made to the document are highlighted in red (except for typo’s). Scans are made on firmware v153 and BMS v213.",,,,,,,,,
,,,,,,,,,
Protocol specification:,,,,,,,,,
Standard Modbus RTU Protocol,,,,,,,,,
Modbus default Address: 1,,,,,,,,,
"baud:115200, 8bit, No parity bit, 1bit Stopbit",,,,,,,,,
"Quirk: If register contains more than 2 bytes of data, data should be read in one function call instead of consecutive calls to consecutive registers or it will be invalid. Therefore if any data is present, one can deduct where a range must be split. If data is zeroes, the range is left and appended with a ‘?’.",,,,,,,,,
,,,,,,,,,
Version,Date,,Change,,,,,,
v2.0,07/11/25,,Create document based on Duravolt document,,,,,,
v2.1,07/16/25,,"Added registers 30001, 30002, 30004, 30005, 30006, 30008, 30009, 30010, 30300, 30301, 30302, 30303, 37004, 37005, 37006, 37007, 37008, 41010. Added notes on 30007, 30100, 30600, 36101, 37013",,,,,,
,,,,,,,,,
,,,,,,,,,
v2.2,08/14/25,,"Added observerations for some unknown registers. Changed error registers based on educated guesses. Identified register 41001. Added notes for registers 41500, 41516, 43000, 45603, 45604.",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Function,ID (DEC),ID (HEX),Name,Bytes,Value type,Gain / Unit,Description,Read out,Meaning
,,,Battery overcurrent,2,bit,/,"0:normal, 1:abnormal",,
,,,Battery low SoC,3,bit,/,"0:normal, 1:abnormal",,
,,,Battery communication failure,4,bit,/,"0:normal, 1:abnormal",,
,,,BMS protect,5,bit,/,"0:normal, 1:abnormal",,
,The registers below are from the original documentation and kept as reference until we are definitely sure how the registers work,,,,,,,,
,36000,8CA0,Alarm word,2,bit,/,See below (probably incorrect!),,
,,,PLL Abnormal restart,0,bit,/,"0:normal, 1:abnormal",,
,,,Overtemperature limit,1,bit,/,"0:normal, 1:abnormal",,
,,,Low temperature limit,2,bit,/,"0:normal, 1:abnormal",,
,,,Fan abnormal warning,3,bit,/,"0:normal, 1:abnormal",,
,,,Low battery SoC warning,4,bit,/,"0:normal, 1:abnormal",,
,,,Output overcurrent warning,5,bit,/,"0:normal, 1:abnormal",,
,,,Abnormal line sequence detection,6,bit,/,"0:normal, 1:abnormal",,
,36001,8CA1,Fault word,2,bit,/,See below (probably incorrect!),,
,,,WiFi abnormal,0,bit,/,"0:normal, 1:abnormal",,
,,,BLE abnormal,1,bit,/,"0:normal, 1:abnormal",,
,,,Network abnormal,2,bit,/,"0:normal, 1:abnormal",,
,,,CT connection abnormal,3,bit,/,"0:normal, 1:abnormal",,
,36100,8D04,Fault word,2,bit,/,See below (probably incorrect!),,
,,,Grid overvoltage,0,bit,/,"0:normal, 1:abnormal",,
,,,Grid undervoltage,1,bit,/,"0:normal, 1:abnormal",,
,,,Grid overfrequency,2,bit,/,"0:normal, 1:abnormal",,
,,,Grid underfrequency,3,bit,/,"0:normal, 1:abnormal",,
,,,Grid peak voltage abnormal,4,bit,/,"0:normal, 1:abnormal 36100[4]=1 some time after empty (low SoC/undervoltage?), so might be 36000",,
,,,Current Dcover,5,bit,/,"0:normal, 1:abnormal",,
,,,Voltage Dcover,6,bit,/,"0:normal, 1:abnormal",,
,36101,8D05,Fault word,1,bit,/,"See below (probably incorrect!) 36101[7]=1 when grid loss, but doesn’t trigger when booted w/ grid = probably ondervoltage",,
,,,Battery overvoltage,0,bit,/,"0:normal, 1:abnormal",,
,,,Battery undervoltage,1,bit,/,"0:normal, 1:abnormal",,
,,,Battery overcurrent,2,bit,/,"0:normal, 1:abnormal",,
,,,Battery low SoC,3,bit,/,"0:normal, 1:abnormal",,
,,,Battery communication failure,4,bit,/,"0:normal, 1:abnormal",,
,,,BMS protect,5,bit,/,"0:normal, 1:abnormal",,
,36102,8D06,Unknown,2,unknown,unknown,,,
,36103,8D07,Fault word,2,bit,/,See below (probably incorrect!),,
,,,Hardware bus overvoltage,0,bit,/,"0:normal, 1:abnormal",,
,,,Hardware output overcurrent,1,bit,/,"0:normal, 1:abnormal",,
,,,Hardware trans overcurrent,2,bit,/,"0:normal, 1:abnormal",,
,,,Hardware battery overcurrent,3,bit,/,"0:normal, 1:abnormal changes to 1 sometimes when empty, so probably aligns with 36101",,
,,,Hardware protection,4,bit,/,"0:normal, 1:abnormal changes to 1 sometimes when empty, so probably aligns with 36101",,
,,,Output overcurrent warning,5,bit,/,"0:normal, 1:abnormal",,
,,,High voltage bus overvoltage,6,bit,/,"0:normal, 1:abnormal",,
,,,High voltage bus undervoltage,7,bit,/,"0:normal, 1:abnormal",,
,,,Overpower protection,8,bit,/,"0:normal, 1:abnormal",,
,,,FSM abnormal,9,bit,/,"0:normal, 1:abnormal",,
,,,Overtemperature protection,10,bit,/,"0:normal, 1:abnormal",,
,,,Inverter soft start timeout,11,bit,/,"0:normal, 1:abnormal",,
,36104,8D08,Fault word (absent!),2,bit,/,See below (probably incorrect!),,
,,,Self-test fault,0,bit,/,"0:normal, 1:abnormal",,
,,,EEPROM fault,1,bit,/,"0:normal, 1:abnormal",,
,,,Other system fault,2,bit,/,"0:normal, 1:abnormal",,
,37000,9088,Unknown,2,unknown,unknown,Always seen 1,,
,37001,9089,Unknown,2,unknown,unknown,Always seen 0,,
,37002,908A,Unknown,2,unknown,unknown,Always seen 0,,
,37003,908B,Unknown,2,unknown,unknown,Always seen 0,,
,37004,908C,AC power,2,s32,W,Same as 32202,1000 (DEC),1000 W
,37005,908D,Battery SOC,2,u16,1 %,Same as 32104,500 (DEC),50 %
,37006,908E,Cell temperature,2,s16,"0,1 °C",Same as 35010=35011,400 (DEC),40 °C
,37007,908F,Maximum cell voltage,2,u16,"0,001 V",,,
,37008,9090,Minimum cell voltage,2,u16,"0,001 V",,,
,37009,9091,Unknown,2,unknown,unknown,Always seen 0,,
,37010,9092,Unknown,2?,unknown,unknown,"1 when empty and voltage tanks to 10 V, 0 when voltage recovers, also 0x0002 when messing with full (balancing?)",,
,37011,9093,Unknown,4,unknown,unknown,"Aligns with b_war on MQTT. Warnings? 37012[2]=1 when charged (but not always, balancing?), 0 when starting to discharge",,
,37013,9095,Unknown,8?,unknown,unknown,Same as 36100,,
0x03/0x06/0x10,41000,A028,Device restart,2,u16,/,0x55AA: restart,,
,41001,A029,Factory reset,2,u16,/,0x55AA: factory reset (clears totals),,
,41010,A032,Power restriction,2,u16,/,"0:unrestricted, 1:800W limited",,
,41100,A08C,Modbus address,2,u16,/,Modbus address [1-255],,
,41200,A0F0,Backup function,2,u16,/,"Whether to enable the backup function, 0:enable, 1:disable",,
,41500,A21C,WiFi SSID,32,char,/,"Can be set, but has no effect",,
,41516,A22C,WiFi Password (first 2 char),2,char,/,"Only first two characters. Can be set, but has no effect",,
,42000,A410,RS485 control mode,2,u16,/,"Register 42000-42999 only work when this is enabled, 0x55AA:enable, 0x55BB:disable",0x55BB (HEX),Disable rs485 control mode
,42010,A41A,Forcible charge/discharge,2,u16,/,"0:stop, 1:charge, 2:discharge",,
,42011,A41B,Charge to SOC,2,u16,1 %,Force (dis)charge to the target SoC and turn off when finished [11-100]. (Enabling this mode turns off the force charge and discharge mode),500 (DEC),"0,5"
,42020,A424,Forcible charge power,2,u16,W,[0-2500],2000 (DEC),2000 W
,42021,A425,Forcible discharge power,2,u16,W,[0-2500],2000 (DEC),2000 W
,43000,A7F8,User work mode,2,u16,/,"0:manual, 1:anti-feed, 2:AI, AI can be set, but will read back as 1",,
,43100,A85C,Discharge time1 week,2,bit,/,"bit1:Monday, bit2:Tuesday, bit3:Wednesday, bit4:Thursday, bit5:Friday, bit6:Saturday, bit7:Sunday",3 (HEX),Enabled at Monday and Tuesday
,43101,A85D,Discharge time1 start,2,u16,hour:min,[0-2359],800 (DEC),Start at 8:00
,43102,A85E,Discharge time1 end,2,u16,hour:min,"[0-2359], the end time must be longer than the start time",1730 (DEC),End at 17:30
,43103,A85F,Discharge time1 power,2,s16,W,"[-2500-2500], positive means discharge",2000 (DEC),2000 W
,43104,A860,Discharge time1 enable,2,u16,/,"0:disable, 1:enable",,
,43105,A861,Discharge time2 week,2,bit,/,same as time1,,
,43106,A862,Discharge time2 start,2,u16,hour:min,same as time1,,
,43107,A863,Discharge time2 end,2,u16,hour:min,same as time1,,
,43108,A864,Discharge time2 power,2,s16,W,same as time1,,
,43109,A865,Discharge time2 enable,2,u16,/,same as time1,,
,43110,A866,Discharge time3 week,2,bit,/,same as time1,,
,43111,A867,Discharge time3 start,2,u16,hour:min,same as time1,,
,43112,A868,Discharge time3 end,2,u16,hour:min,same as time1,,
,43113,A869,Discharge time3 power,2,s16,W,same as time1,,
,43114,A86A,Discharge time3 enable,2,u16,/,same as time1,,
,43115,A86B,Discharge time4 week,2,bit,/,same as time1,,
,43116,A86C,Discharge time4 start,2,u16,hour:min,same as time1,,
,43117,A86D,Discharge time4 end,2,u16,hour:min,same as time1,,
,43118,A86E,Discharge time4 power,2,s16,W,same as time1,,
,43119,A86F,Discharge time4 enable,2,u16,/,same as time1,,
,43120,A870,Discharge time5 week,2,bit,/,same as time1,,
,43121,A871,Discharge time5 start,2,u16,hour:min,same as time1,,
,43122,A872,Discharge time5 end,2,u16,hour:min,same as time1,,
,43123,A873,Discharge time5 power,2,s16,W,same as time1,,
,43124,A874,Discharge time5 enable,2,u16,/,same as time1,,
,43125,A875,Discharge time6 week,2,bit,/,same as time1,,
,43126,A876,Discharge time6 start,2,u16,hour:min,same as time1,,
,43127,A877,Discharge time6 end,2,u16,hour:min,same as time1,,
,43128,A878,Discharge time6 power,2,s16,W,same as time1,,
,43129,A879,Discharge time6 enable,2,u16,/,same as time1,,
,44000,ABE0,Charging cutoff capacity,2,u16,1 %,[80-100] * 10,930 (DEC),"93,0 %"
,44001,ABE1,Discharging cutoff capacity,2,u16,1 %,[12-30] * 10,150 (DEC),"15,0 %"
,44002,ABE2,Max charge power,2,u16,W,[0-2500],800 (DEC),800 W
,44003,ABE3,Max discharge power,2,u16,W,[0-2500],2000 (DEC),2000 W
,44100,AC44,Grid standards,2,unknown,/,"0:Auto (220-240 V, 50/60 Hz), 1:EN50549, 2:NL, 3:DE, 4:AT, 5:UK, 6:ES, 7:PL, 8:IT, 9:CN",,
,45603,B223,Unknown,2,unknown,unknown,Cannot be written,,
,45604,B224,Unknown,2,unknown,unknown,Cannot be written,,
